Item,Arousal.Mean,Arousal.SD,Arousal.N,Arousal.Min,Arousal.Max,Arousal.Unknown,Concreteness.Mean,Concreteness.SD,Concreteness.N,Concreteness.Min,Concreteness.Max,Concreteness.Unknown,Embodiment.Mean,Embodiment.SD,Embodiment.N,Embodiment.Min,Embodiment.Max,Embodiment.Unknown,Imageability.Mean,Imageability.SD,Imageability.N,Imageability.Min,Imageability.Max,Imageability.Unknown,Valence.Mean,Valence.SD,Valence.N,Valence.Min,Valence.Max,Valence.Unknown
interrupted,6.57,1.54,21,3,9,NA,3.48,1.53,25,1,5,NA,4.04,2.14,26,1,7,NA,5.2,1.68,25,2,7,NA,2.48,1.27,29,1,5,NA
intersect,4.86,1.64,22,1,7,1,3.2,1.58,25,1,5,1,2.5,1.56,26,1,6,2,4.6,2.16,25,1,7,1,5.15,0.66,27,4,7,1
intersperse,4.62,1.26,16,2,7,7,2.62,1.31,16,1,5,10,2.47,1.46,17,1,5,11,3.32,1.77,19,1,7,7,5.28,1.07,18,4,9,9
intertwine,4.61,2.28,18,1,8,NA,4.04,0.98,25,2,5,NA,4.35,1.95,49,1,7,NA,5.47,1.68,30,1,7,NA,5.97,1.87,34,3,9,NA
intertwined,5.05,2.48,19,1,9,NA,3.08,1.5,25,1,5,NA,4.39,2.13,23,1,7,NA,5.21,1.87,28,1,7,NA,5.69,1.23,26,4,9,NA
intervene,6.9,1.37,20,4,9,NA,2.85,1.29,26,1,5,NA,4.38,1.63,26,1,7,NA,4.2,1.55,25,2,7,NA,4.7,1.77,27,1,8,NA
interwoven,3.91,1.59,23,1,6,2,3.11,1.19,27,1,5,1,2.68,1.68,25,1,6,1,4.88,1.9,26,1,7,2,5.68,1.05,31,4,9,1
intimidate,7.42,1.12,19,6,9,NA,3.14,1.38,28,1,5,NA,4.04,1.99,25,1,7,NA,4.67,1.97,30,1,7,1,2.97,1.86,33,1,9,NA
intone,4.71,1.89,7,3,8,7,1.75,0.71,8,1,3,17,3,2.19,11,1,6,15,2.08,1.19,13,1,5,18,4.92,0.95,13,3,7,19
intoxicate,7.05,1.56,21,4,9,NA,4,0.8,23,2,5,NA,5.85,1.29,26,3,7,NA,5.85,1.69,26,1,7,NA,3.71,2.03,28,1,8,NA
intrigue,7.4,1.73,20,4,9,NA,1.7,0.82,23,1,3,NA,2.44,1.45,27,1,6,NA,2.72,1.74,25,1,7,NA,7.35,1.36,31,4,9,NA
intrigued,6.95,1.91,22,1,9,1,2.04,1.11,26,1,5,NA,3.52,1.96,25,1,7,NA,3.42,1.98,24,1,7,NA,6.68,1.4,31,3,9,NA
introduce,6,1.67,19,3,9,NA,2.36,1.32,25,1,5,NA,4.43,1.88,23,2,7,NA,4.11,2.04,28,1,7,NA,6.3,1.41,27,4,9,NA
introspect,3.31,1.75,13,1,7,NA,1.86,1.17,22,1,5,4,3.2,2.24,20,1,7,3,2.96,2.01,27,1,7,1,6.09,1.62,23,2,9,1
intrude,6.65,1.58,17,4,9,1,3.67,1.17,24,1,5,1,4.12,1.79,49,1,7,NA,5.27,1.7,30,1,7,NA,2.76,1.73,33,1,9,1
intruding,7.25,1.29,20,5,9,NA,3.04,1.14,25,1,5,NA,4.54,1.72,24,1,7,NA,5.2,1.5,25,3,7,NA,2.83,1.67,29,1,9,NA
intuit,4.12,2.36,8,1,9,11,2.29,1.07,14,1,4,14,3.5,1.62,12,1,6,13,2.11,1.45,18,1,5,13,5.53,1.42,17,3,9,16
inure,4.22,2.05,9,1,7,11,2.33,1.63,6,1,5,18,2.86,2.27,7,1,6,18,3.14,2.54,7,1,7,21,3.6,1.58,10,1,5,20
invade,7.35,1.18,20,5,9,NA,3.54,1.14,28,1,5,NA,3.79,1.67,24,1,7,NA,5.56,1.42,27,2,7,NA,2.44,1.25,27,1,6,NA
invalidate,5.6,2.09,20,1,9,1,2.03,0.87,29,1,4,NA,2.44,1.55,27,1,7,1,2.47,1.52,32,1,7,NA,2.81,1.66,31,1,7,1
invent,6.15,2.11,26,1,9,NA,3.04,1.33,24,1,5,NA,3.61,2.21,23,1,7,NA,4.5,2.08,26,1,7,NA,7.21,1.54,29,3,9,NA
invert,4.52,1.86,23,1,8,3,3.13,1.52,23,1,5,1,3.5,2.02,22,1,7,1,4.71,2.12,24,1,7,2,4.89,1.25,27,2,8,2
invest,6.11,1.94,18,3,9,NA,2.93,1.25,28,1,5,NA,2.88,2.05,25,1,7,NA,4.31,2.25,29,1,7,NA,7,1.68,30,1,9,NA
investigate,6.4,1.06,15,5,8,NA,3.48,1.12,25,1,5,NA,3.96,2.03,26,1,7,NA,5.23,1.63,31,2,7,NA,5.09,1.25,32,3,8,NA
invigorate,7.37,2.22,19,1,9,NA,2.58,1.27,26,1,5,2,3.46,1.77,24,1,6,4,3.28,2.03,25,1,7,2,6.16,2.37,25,1,9,4
invigorating,7.12,2.13,24,1,9,2,2.5,1.44,22,1,5,2,4.19,1.69,21,1,6,2,3.32,1.93,25,1,7,1,6.69,2.36,26,1,9,3
invite,5.5,1.96,20,1,9,NA,3.42,1.32,24,1,5,NA,3.77,1.85,30,1,7,NA,4.88,1.45,26,3,7,NA,7.43,1.57,30,4,9,NA
invoke,6.6,1.35,20,5,9,NA,1.58,0.83,24,1,4,1,3.23,1.76,30,1,7,NA,3.08,1.67,24,1,7,2,4.97,0.78,29,3,7,1
involve,5.61,2.28,18,1,9,1,2.82,1.42,28,1,5,NA,3.93,1.94,28,1,7,NA,4.04,1.85,27,1,7,NA,6.77,1.43,30,4,9,NA
irk,7.44,1.55,16,5,9,3,2.85,1.42,20,1,5,4,4,2.12,17,1,7,4,2.96,2.03,25,1,7,4,2.83,1.47,23,1,5,6
irradiate,5.45,2.02,11,1,9,7,2.69,1.2,16,1,5,11,3.21,2.04,14,1,7,10,3.36,2.21,14,1,7,8,5,1.94,17,1,9,11
irrigate,4,1.35,12,1,5,6,3.24,1.48,21,1,5,5,3.17,1.82,18,1,7,3,4.15,2.13,20,1,7,5,4.6,1.04,25,1,6,5
