Item,Arousal.Mean,Arousal.SD,Arousal.N,Arousal.Min,Arousal.Max,Arousal.Unknown,Concreteness.Mean,Concreteness.SD,Concreteness.N,Concreteness.Min,Concreteness.Max,Concreteness.Unknown,Embodiment.Mean,Embodiment.SD,Embodiment.N,Embodiment.Min,Embodiment.Max,Embodiment.Unknown,Imageability.Mean,Imageability.SD,Imageability.N,Imageability.Min,Imageability.Max,Imageability.Unknown,Valence.Mean,Valence.SD,Valence.N,Valence.Min,Valence.Max,Valence.Unknown
demoralize,5.81,1.88,26,1,9,NA,1.88,1.12,24,1,4,NA,3.3,1.69,23,1,6,NA,2.96,1.77,25,1,7,1,1.83,1.1,29,1,4,NA
demote,5.17,1.58,18,1,8,NA,2.35,1.16,26,1,4,1,3.09,1.62,23,1,6,1,2.55,1.5,22,1,5,NA,2.56,1.42,27,1,5,1
demystify,3.65,2.15,17,1,9,4,2.29,1.07,14,1,4,11,2.24,1.64,17,1,7,10,2.94,2.14,17,1,7,9,5.62,1.5,16,2,8,13
denigrate,5,0.82,7,4,6,11,3.17,1.33,6,1,5,22,2.8,1.48,10,1,5,15,2.54,1.33,13,1,5,16,2.75,1.54,12,1,5,18
denote,4.15,1.46,13,1,6,6,2.05,1.05,20,1,5,8,2.5,1.42,18,1,5,7,2.37,1.62,27,1,6,4,4.48,0.82,25,2,5,8
denounce,4.94,1.73,16,2,9,2,2.56,1.16,25,1,5,NA,2.83,1.59,47,1,7,2,3.67,1.94,27,1,7,3,4,1.6,30,1,7,3
deny,5.21,1.9,19,1,8,NA,2.12,1.24,25,1,5,NA,3.17,2.17,23,1,7,NA,3.54,1.97,28,1,7,NA,3,1.44,27,1,6,NA
deodorize,3.71,1.45,17,1,6,4,3.83,1.07,23,2,5,2,4.32,2.01,22,1,7,5,3.75,2.09,24,1,7,2,5.79,1.84,24,1,9,5
depart,5.15,1.63,20,1,8,1,4.17,1,29,1,5,NA,4.57,1.87,28,1,7,NA,5.5,1.48,32,1,7,NA,3.71,1.7,31,1,8,NA
departed,5.38,2.18,21,1,8,NA,3.57,0.79,23,1,5,NA,4.08,1.94,26,1,7,NA,5.23,1.8,26,1,7,NA,3.46,1.75,28,1,7,NA
depend,3.9,1.55,21,1,6,NA,1.72,0.89,25,1,3,NA,2.42,1.81,26,1,7,NA,3.04,1.79,25,1,7,NA,4.48,1.4,29,1,7,NA
depict,5.25,1.12,20,4,9,NA,1.8,0.96,25,1,4,NA,2.25,1.22,24,1,5,NA,3.32,2.12,25,1,7,NA,5.41,0.98,29,2,7,NA
deplane,4.4,1.07,10,3,6,7,3.1,1.52,20,1,5,5,NA,NA,NA,NA,NA,NA,3.65,2.06,23,1,7,5,4.77,1.23,22,2,7,7
deplete,4.89,2.08,19,1,8,NA,2.31,1.19,26,1,5,1,2.55,1.53,22,1,7,2,3.84,1.84,25,1,7,NA,3.33,1.3,30,1,6,NA
deplore,5.65,2.32,17,1,9,3,2.59,1.28,17,1,5,8,3,1.8,25,1,7,5,3.09,1.7,23,1,7,3,3.55,2.06,22,1,9,8
deploy,4.88,1.75,16,1,7,1,3.12,1.36,25,1,5,NA,NA,NA,NA,NA,NA,NA,3.82,2.02,28,1,7,NA,4,1.36,28,1,6,1
depopulate,5.53,1.43,19,3,8,1,2.39,1.31,28,1,5,NA,2.38,1.79,24,1,7,NA,3.07,1.96,27,1,7,NA,3.67,1.36,27,1,6,NA
deport,7.3,1.49,20,5,9,NA,3.46,1.44,24,1,5,NA,3.56,2.14,25,1,7,NA,5.14,2.05,28,1,7,NA,1.9,1.24,30,1,6,NA
depose,5.22,1.86,9,2,8,4,2.35,1.23,20,1,5,6,2.76,2.02,17,1,7,6,3.43,1.8,23,1,7,5,3.95,1.61,19,1,6,5
deprave,6.56,1.41,16,4,9,4,2.5,0.92,18,1,4,8,2.91,1.41,22,1,5,4,2.84,1.64,19,1,6,6,3.35,1.43,23,1,7,4
deprecate,4.75,1.36,12,2,7,6,2.19,1.12,21,1,5,6,2.72,1.41,18,1,5,6,2.76,1.44,17,1,5,5,2.84,1.37,25,1,5,3
depreciate,6,0.91,18,5,8,3,1.87,1.14,23,1,5,4,2.96,1.79,25,1,7,3,2.5,1.71,22,1,7,5,2.71,1.46,24,1,6,4
depress,4.8,1.79,20,1,9,NA,3.24,1.36,25,1,5,2,4.3,2.18,20,1,7,1,5.12,1.65,24,2,7,NA,2.14,1.41,28,1,6,2
deprive,6.5,1.91,20,1,9,NA,2.48,1.33,25,1,5,NA,3.75,1.54,24,1,7,NA,3.8,1.83,25,1,7,NA,1.9,1.11,29,1,5,NA
deputize,5.07,1.69,14,1,8,9,2.12,1.02,16,1,4,10,2.8,1.52,15,1,6,10,3.31,1.93,13,1,7,11,5.18,0.73,22,3,6,9
derail,6.9,1.45,21,4,9,NA,3.21,1.11,29,1,5,NA,2.57,1.81,28,1,7,NA,5.07,1.84,28,1,7,NA,2.55,1.37,33,1,5,NA
deride,4.4,2.19,5,1,7,14,2.62,1.33,13,1,5,15,2.24,1.44,17,1,5,11,2.62,2,16,1,7,11,4.56,1.15,16,1,6,14
derive,4.25,1.67,24,1,7,1,1.86,0.85,28,1,4,NA,2.04,1.18,26,1,5,NA,2.29,1.76,28,1,7,NA,4.94,0.85,31,3,7,1
derived,4.44,1.79,16,1,7,1,2.44,1.23,25,1,5,NA,NA,NA,NA,NA,NA,NA,2.5,1.73,28,1,7,NA,4.57,1.37,28,1,6,1
descend,3.88,1.63,16,1,6,1,4.04,1.14,25,1,5,NA,NA,NA,NA,NA,NA,NA,5.43,1.55,28,1,7,NA,4.93,1.25,28,3,9,1
describe,4.33,1.81,18,1,9,NA,2.72,1.49,25,1,5,NA,3.14,1.9,49,1,7,NA,3.17,1.76,30,1,7,NA,5.88,1.22,33,5,9,NA
desecrate,6.13,1.77,15,3,9,5,3.33,1.19,18,1,5,5,3.71,2.1,21,1,7,6,4.71,1.98,21,1,7,4,2.83,1.71,24,1,6,7
desegregate,5.62,1.71,16,3,9,5,2.25,1.44,16,1,5,9,2.89,1.81,18,1,7,9,3.81,1.91,16,1,7,10,5.75,2.63,20,1,9,9
desensitize,5.06,2.41,18,1,9,1,1.89,0.97,27,1,4,NA,3,1.83,23,1,7,1,2.29,1,24,1,4,1,3.38,1.7,29,1,7,1
deserve,4.19,2.48,21,1,9,NA,1.41,0.59,22,1,3,NA,2.71,1.81,24,1,7,NA,2.5,1.46,30,1,6,NA,8,1.31,29,5,9,NA
deserved,5.13,1.51,15,3,8,NA,1.72,0.94,25,1,4,NA,2.69,1.76,26,1,7,NA,3.1,1.56,31,1,7,NA,7.12,1.72,32,4,9,NA
desiccate,5.4,1.78,10,1,7,7,3.19,1.38,16,1,5,12,3.6,2.03,15,1,7,10,3.87,1.96,15,1,7,14,3.5,1.56,14,1,6,16
designate,4.15,1.52,26,1,6,NA,2.29,1.37,24,1,5,NA,2.57,1.65,23,1,7,NA,2.81,1.81,26,1,7,NA,5.21,0.69,28,4,7,1
designed,4.64,2.04,22,1,9,NA,3.27,1.22,26,1,5,NA,3.09,1.47,23,1,6,NA,4.5,1.98,24,1,7,NA,6.48,1.24,29,5,9,NA
designing,4.8,1.9,15,1,7,NA,3.16,1.37,25,1,5,NA,3.68,2.15,25,1,7,1,4.77,2.04,31,1,7,NA,6.28,1.42,32,2,9,NA
desist,4.75,2.22,12,1,9,6,2.6,0.99,15,1,5,10,2.94,1.63,34,1,6,15,2.9,1.89,20,1,6,10,3.95,1.46,22,1,6,12
despise,7.47,1.12,19,5,9,NA,1.91,0.95,23,1,4,NA,3.33,1.71,27,1,6,NA,3.68,1.7,25,1,7,NA,1.87,1.04,30,1,4,NA
despoil,5.33,1.12,9,4,7,12,2.24,1.3,17,1,5,10,2.43,1.91,14,1,7,14,3.07,1.59,14,1,6,13,3.72,1.96,18,1,7,10
destine,5.06,1.39,17,3,8,2,1.64,0.91,25,1,4,3,2,1.45,19,1,5,6,2.25,1.65,28,1,7,3,5.69,1.91,29,1,9,4
destroy,7.69,1.25,13,5,9,NA,4.58,0.99,26,1,5,NA,4.65,2.08,23,1,7,NA,6.5,1,28,3,7,NA,2.33,1.95,24,1,9,NA
destruct,7.3,1.45,20,5,9,NA,3.96,1.19,23,1,5,NA,4.37,1.9,27,1,7,NA,5.88,1.48,25,3,7,NA,2.19,1.25,31,1,5,NA
detach,4.65,0.79,17,3,6,1,3.12,1.37,26,1,5,NA,3.81,1.66,21,1,6,NA,4.4,2.06,25,1,7,NA,3.6,1.54,30,1,6,NA
detain,7.15,1.35,20,5,9,NA,4.08,1.21,24,1,5,NA,4.32,1.99,25,1,7,NA,5.33,1.84,27,2,7,1,2.67,1.69,30,1,6,NA
detect,5.5,1.43,20,1,8,1,2.96,1.14,25,1,5,NA,3.63,1.92,27,1,7,NA,4,2.04,26,1,7,NA,5.62,1.32,29,3,9,NA
deter,5.38,1.28,21,3,8,1,2.33,1.13,24,1,5,2,2.9,1.17,20,1,5,3,2.95,1.59,22,1,5,2,3.96,1.43,27,1,6,2
deteriorate,5.86,1.91,22,1,9,NA,3.54,1.1,26,1,5,NA,4.04,2.03,23,1,7,NA,5.42,1.53,24,2,7,NA,2.17,1.28,29,1,6,NA
determine,5.69,1.75,13,3,9,NA,2.27,1.25,26,1,5,NA,3.43,2,23,1,7,NA,3.21,1.73,28,1,7,NA,7,1.62,24,4,9,NA
detest,5.77,2.49,22,1,9,1,2.25,1.29,24,1,5,2,3.19,1.98,26,1,7,2,3.38,2.23,26,1,7,NA,2.48,1.53,27,1,5,1
dethrone,5.73,1.87,15,1,9,NA,2.91,1.35,23,1,5,NA,3.78,2.24,27,1,7,NA,4.85,1.85,27,1,7,NA,3.86,1.8,28,1,7,NA
detonate,6.75,1.69,16,4,9,4,3.13,1.42,23,1,5,5,2.2,1.54,20,1,6,4,4.57,2.31,23,1,7,4,3.48,2.06,23,1,9,4
detoured,5.41,1.18,22,2,7,1,2.65,1.32,26,1,5,NA,2.58,1.61,24,1,6,1,3.71,2.01,24,1,7,NA,4.03,1.43,30,1,8,1
detract,5.58,0.9,12,5,8,3,2.18,1.19,17,1,5,8,1.89,1.45,19,1,6,5,1.88,1.27,17,1,5,6,4.04,1.11,23,1,5,5
detrain,4.73,1.19,11,3,7,4,1.82,0.75,11,1,3,14,2.4,1.3,15,1,5,11,2.82,1.81,17,1,6,14,3.67,1.53,18,1,6,14
devaluate,4.08,1.24,12,2,6,1,1.96,1.07,23,1,4,3,2.4,1.82,20,1,7,3,2.96,1.89,27,1,7,1,3.18,1.53,22,1,5,2
devalue,5.88,1.34,26,3,8,NA,1.83,1.05,24,1,5,NA,2.57,1.41,23,1,5,NA,2.73,1.82,26,1,7,NA,2.14,1.15,28,1,4,1
devastate,7.3,1.03,20,6,9,NA,2.25,1.11,28,1,5,NA,3,2.09,24,1,7,NA,4.56,1.85,27,1,7,NA,2.07,1.36,27,1,7,NA
develop,4.8,2.35,20,1,9,NA,2.42,1.25,24,1,5,NA,3.44,1.76,25,1,7,NA,3.29,2.02,28,1,7,NA,7.3,1.32,30,5,9,NA
deviate,5.74,1.1,19,4,8,NA,2.13,1.06,23,1,5,NA,2.85,1.54,27,1,6,NA,2.52,1.58,25,1,6,NA,4.21,1.18,29,2,7,2
devise,5.67,2.15,21,1,9,NA,1.83,0.89,23,1,4,NA,2.67,1.74,24,1,6,2,2.29,1.27,24,1,6,2,5.19,1.17,26,4,9,2
devote,4.58,2.27,19,2,9,NA,1.7,0.7,23,1,3,NA,2.89,1.69,27,1,7,NA,2.6,1.78,25,1,7,NA,6.87,1.41,30,4,9,NA
devoted,5.38,2.8,16,1,9,NA,1.68,0.99,25,1,4,NA,2.3,1.29,23,1,5,NA,2.87,1.32,23,1,5,NA,7.11,1.5,28,4,9,NA
devour,6.45,1.77,22,3,9,NA,4.62,0.64,26,3,5,NA,6.04,1.02,23,3,7,NA,6.54,0.93,24,4,7,NA,5.61,2.13,28,1,9,1
diagnose,6,2.04,24,1,9,NA,3.21,1.21,29,1,5,NA,4.56,1.8,27,1,7,NA,4.29,1.88,28,1,7,NA,3.57,1.98,30,1,8,NA
diagnoses,6.52,1.54,21,4,9,NA,3.28,1.49,25,1,5,NA,3.59,1.93,27,1,7,NA,4.5,2.12,26,1,7,NA,3.69,2.07,29,1,8,NA
dialing,5.09,1.38,22,3,9,NA,4.54,0.65,26,3,5,NA,5.43,1.7,23,1,7,NA,6.58,0.88,24,4,7,NA,5.14,1.15,28,1,8,1
dictate,5.84,1.95,25,1,9,NA,2.96,1.45,27,1,5,1,3.77,2.27,26,1,7,NA,4.68,1.93,28,1,7,NA,3.53,1.44,32,1,7,NA
did,4.68,2.24,19,1,9,NA,2.83,1.31,24,1,5,NA,4,2.35,21,1,7,NA,2.86,2.25,29,1,7,NA,5.55,1.48,29,2,9,NA
differ,4.63,1.83,19,1,9,NA,2.08,1.29,26,1,5,1,2.17,1.49,24,1,6,NA,3.72,2.07,25,1,7,NA,4.97,1,30,3,8,NA
differentiate,4.32,2.16,19,1,8,NA,2.41,1.25,27,1,5,1,2.54,1.69,28,1,6,NA,3.62,2.25,26,1,7,1,5.03,0.76,30,3,7,NA
differing,5.44,1.09,16,3,7,1,1.65,0.83,23,1,4,1,2.09,1.24,23,1,5,2,3.29,2.02,28,1,7,NA,4.89,1.23,28,1,7,1
diffused,3.5,1.73,20,1,7,NA,2.84,1.14,25,1,5,NA,2.3,1.24,30,1,5,NA,4,1.81,26,1,7,NA,5.37,1.47,30,2,9,NA
digest,3.28,1.81,18,1,7,NA,4.07,1.18,28,1,5,NA,6.44,1.39,25,1,7,NA,4.97,1.88,29,1,7,NA,6,1.29,30,4,9,NA
digested,3.78,1.4,18,1,6,NA,3.88,1.3,25,1,5,NA,5.96,1.62,49,1,7,NA,5.1,1.65,30,1,7,NA,5.67,1.24,33,3,9,1
dignified,4.78,2.34,18,1,9,NA,1.81,1.2,26,1,5,1,2.67,1.83,24,1,7,NA,2.55,1.53,22,1,7,NA,6.8,1.47,25,4,9,3
dignify,5.17,2.38,18,1,9,NA,1.73,0.96,26,1,4,1,2.58,1.64,24,1,7,NA,2.33,1.59,21,1,5,1,6.22,1.22,27,4,9,1
digress,4.86,1.41,14,1,7,5,2,1.11,22,1,4,6,2.09,1.5,23,1,6,5,2.17,1.27,23,1,5,4,4.42,1.84,24,1,8,6
dilate,5.25,2.53,20,1,9,NA,4.28,0.98,25,1,5,NA,6.03,1.38,30,2,7,NA,6.15,1.19,26,2,7,NA,5.5,1.41,30,3,9,NA
dilated,5.26,2.68,19,1,9,NA,3.75,1.35,28,1,5,NA,5.04,1.91,27,1,7,1,5.73,1.91,26,1,7,1,5.64,1.16,28,4,8,2
diluted,3.8,1.79,20,1,8,NA,3.62,1.38,24,1,5,NA,2.6,2.08,25,1,7,NA,5.39,1.83,28,1,7,NA,4.57,1.7,30,1,9,NA
diminish,4.84,2.14,19,1,8,NA,2.12,0.97,25,1,4,NA,2.05,1.33,22,1,5,1,3.21,1.91,28,1,7,NA,3.31,1.29,26,1,7,NA
dipped,4.32,1.38,19,1,6,NA,4.09,1.08,23,1,5,NA,4.37,2,27,1,7,NA,5.68,1.65,25,1,7,NA,5.4,1.28,30,2,9,NA
dipping,5,1.77,15,1,8,NA,4.22,0.85,23,2,5,NA,4.3,2.33,27,1,7,NA,5.59,1.72,27,1,7,NA,5.14,1.08,28,2,8,NA
directed,4.76,1.44,17,1,7,1,2.85,1.12,26,1,5,NA,3.81,2.16,21,1,7,NA,4.16,1.99,25,1,7,NA,5.07,1.34,30,1,8,NA
disable,5.24,1.18,21,3,7,NA,3.38,1.18,29,1,5,NA,3.82,1.63,28,1,7,NA,4.03,1.99,32,1,7,NA,2.94,1.34,32,1,5,NA
disabuse,4.73,1.49,15,1,7,6,1.69,0.75,13,1,3,9,2.67,1.72,15,1,6,9,3,1.7,21,1,7,9,5.24,2,21,1,8,8
disagree,6.78,1.22,18,4,9,NA,2.65,1.38,26,1,5,NA,3.87,2.22,23,1,7,NA,4.04,1.97,24,1,7,NA,3.22,1.28,27,1,6,NA
disagreed,6.04,1.52,23,2,8,NA,2.46,1.39,26,1,5,NA,3.04,1.34,25,1,5,NA,3.83,2.12,24,1,7,NA,3.26,1.41,31,1,6,NA
disallow,4.61,1.2,18,2,6,1,2.36,1.25,25,1,4,3,2.52,1.69,21,1,7,4,2.55,2.06,31,1,7,NA,3.24,1.64,33,1,7,NA
disappear,4.68,1.76,22,2,9,NA,3.69,1.29,26,1,5,NA,3.96,2.18,23,1,7,NA,6.25,1.15,24,3,7,NA,3.52,1.7,29,1,9,NA
disappoint,6.89,1.91,19,2,9,NA,2.17,1.37,24,1,5,NA,3.76,2.12,21,1,7,NA,4.76,2.08,29,1,7,NA,1.55,0.95,29,1,4,NA
disappointed,6.4,2.1,15,2,9,NA,2.61,1.37,23,1,5,NA,3.07,2,27,1,7,NA,5.41,1.72,27,1,7,NA,2.18,1.22,28,1,6,NA
disapprove,5.69,1.32,13,3,7,NA,2.85,1.62,26,1,5,NA,3.48,2.06,23,1,7,NA,5.46,1.77,28,1,7,NA,2.33,1.31,24,1,5,NA
disarm,5.84,2.06,19,2,9,NA,4.04,1,24,2,5,NA,5.7,1.17,20,3,7,NA,5.69,1.44,29,1,7,NA,5.17,1.73,29,1,9,NA
disarrange,6,1.59,20,1,8,NA,3.4,1.26,25,1,5,NA,3.6,2.13,30,1,7,NA,4.96,1.46,26,3,7,NA,3.03,1.27,29,1,5,1
disassemble,5.05,1.63,21,1,9,NA,4.26,1.06,27,1,5,NA,4.29,2.09,28,1,7,NA,5.22,1.69,27,1,7,NA,4.14,1.38,28,1,6,NA
disassociate,4.26,1.94,19,1,7,NA,2.04,1.17,28,1,5,NA,2.32,1.38,25,1,6,NA,3.03,1.82,31,1,7,NA,3.52,1.62,33,1,7,NA
disavow,6.14,1.68,7,4,9,8,1.78,0.67,9,1,3,16,2.58,0.9,12,1,4,14,2.81,1.72,16,1,6,15,4.07,1.69,14,1,6,18
disband,4.38,1.5,16,1,7,2,2.78,1.17,23,1,5,4,3.45,1.96,20,1,7,4,3.06,1.71,17,1,6,5,3.83,1.37,23,1,6,5
disbar,5.43,1.28,14,2,7,9,2,1.03,16,1,4,10,2.65,1.46,17,1,7,8,2.67,1.4,15,1,6,9,3.1,1.61,21,1,5,10
disbelieve,5.85,2.16,20,1,9,NA,2.08,1.32,25,1,5,NA,3.47,1.94,30,1,7,NA,3.38,1.7,26,1,6,NA,3.43,1.55,30,1,7,NA
discard,5.07,1.53,15,2,8,NA,3.91,1.04,23,1,5,NA,3.63,2.2,27,1,7,NA,5.22,1.69,27,1,7,NA,3.93,1.56,28,1,7,NA
discern,5.62,1.61,13,4,9,3,1.59,0.73,22,1,3,3,2.32,1.7,19,1,6,5,2.14,1.49,22,1,7,1,4.48,1.19,25,2,7,3
discharge,5.44,1.65,18,3,9,NA,3.12,1.2,25,1,5,NA,3.81,2,48,1,7,1,4.47,2.18,30,1,7,NA,4.53,1.69,34,1,9,NA
disclaim,5.88,0.96,16,4,7,3,2.96,1.27,24,1,5,NA,3,1.86,19,1,7,1,2.89,1.89,27,1,7,2,4.55,0.83,29,3,6,NA
disclose,4.6,1.82,20,1,7,NA,2.79,1.32,24,1,5,NA,2.84,2.01,25,1,7,NA,3.29,1.98,28,1,7,NA,4.83,1.78,30,1,9,NA
disclosed,4.43,1.31,23,2,7,NA,1.88,0.8,24,1,4,2,2.24,1.23,25,1,5,NA,2.17,1.27,23,1,5,1,4.77,1.06,31,1,7,NA
disconnect,4.75,1.86,20,1,8,NA,2.65,1.3,23,1,5,NA,2.89,1.67,27,1,7,NA,3.92,1.61,25,1,7,NA,3.58,1.59,31,1,7,NA
discontinue,5,1.61,18,3,9,NA,2.42,1.14,26,1,5,NA,2.2,1.54,20,1,6,1,3.16,1.6,25,1,6,NA,3.07,1.36,29,1,5,1
discourage,5.42,1.59,24,2,9,NA,2.17,1.14,29,1,5,NA,2.93,1.66,27,1,7,NA,3.36,1.93,28,1,7,NA,2.2,1.1,30,1,4,NA
discouraging,5.6,1.68,15,2,9,NA,2.65,1.43,23,1,5,NA,3.11,2.06,27,1,7,NA,4.15,2.01,27,1,7,NA,2.18,1.42,28,1,6,NA
discover,7.25,2.11,16,1,9,NA,2.76,1.36,25,1,5,NA,2.96,1.97,24,1,7,NA,4.22,2.07,23,1,7,NA,7.57,1.29,28,5,9,NA
discovered,7.45,1.96,20,1,9,NA,2.92,1.38,24,1,5,NA,3.88,2.15,25,1,7,NA,4.93,1.96,28,1,7,NA,7.43,1.41,30,5,9,NA
discriminate,6.76,1.51,21,3,9,NA,2.48,1.31,23,1,5,NA,3.54,2.21,26,1,7,NA,4.35,2.17,26,1,7,NA,1.71,1.21,28,1,6,NA
discriminating,6.94,1.89,18,2,9,NA,2.5,1.39,26,1,5,NA,4,2.07,23,1,7,NA,4.72,2.09,25,1,7,NA,1.74,1.4,27,1,6,NA
discuss,5.1,2.02,20,1,9,NA,3.36,1.25,25,1,5,NA,5.4,1.71,30,1,7,NA,4.81,1.81,26,1,7,NA,5.8,1.4,30,4,9,NA
disembark,5.85,1.14,20,4,8,3,3.21,1.14,24,1,5,2,3.58,1.82,24,1,7,1,4.36,1.99,22,1,7,2,5.57,1.29,28,3,9,3
disembody,6.05,1.68,22,4,9,NA,2.6,1.38,25,1,5,1,4,2.22,23,1,7,NA,4.04,1.92,24,1,7,NA,3.77,1.99,26,1,8,3
disembowel,7.07,2.09,14,1,9,7,4,1.34,20,1,5,5,5.3,2.1,23,1,7,3,5.25,2.4,20,1,7,5,2.39,2.23,23,1,9,6
disenfranchise,5.23,1.42,13,3,9,5,2.28,1.41,18,1,5,7,2.17,1.47,40,1,5,9,2.85,1.89,26,1,7,4,3.85,1.46,26,1,7,8
disengage,3.43,1.87,14,1,7,1,2.08,1.1,24,1,5,1,3.54,2.28,24,1,7,2,3.5,1.96,30,1,7,1,3,1.13,31,1,5,1
disentangle,4.94,1.68,17,3,9,3,3.67,1.06,21,2,5,5,4.48,1.78,23,1,7,3,5.17,1.53,23,2,7,2,6,1.73,25,1,9,2
disfigure,7.1,1.41,21,5,9,NA,3.95,1.25,22,1,5,NA,5.12,2.11,24,1,7,NA,5,1.7,30,1,7,NA,2.41,1.66,29,1,7,NA
disgusted,7.3,1.69,20,3,9,NA,3.83,1.4,24,1,5,NA,5.12,2.07,25,1,7,NA,6.11,1.37,28,3,7,NA,1.97,1.19,30,1,5,NA
dishearten,6.05,1.67,20,4,9,1,2.17,1.46,24,1,5,1,3.65,2.21,26,1,7,NA,3.46,2.13,24,1,7,1,2.07,1.3,28,1,5,1
dished,4.72,1.87,18,1,9,1,2.81,1.44,26,1,5,1,2.78,2.07,23,1,7,1,3.73,2.12,22,1,7,3,5.07,1.88,27,1,9,3
disillusion,5.18,1.78,17,3,9,3,1.8,0.96,25,1,4,3,2.5,1.87,22,1,7,2,2.32,1.28,25,1,5,2,3.87,1.71,23,1,7,4
disinfect,4.95,1.64,20,3,8,NA,3.96,1.34,25,1,5,NA,4.57,1.92,30,1,7,NA,6.38,0.75,26,5,7,NA,5.27,2.07,30,1,9,NA
disinherit,5.29,1.93,17,1,8,1,2.62,1.2,26,1,5,2,2.58,1.91,24,1,7,1,2.78,1.87,27,1,7,2,2.61,1.29,28,1,5,2
disintegrate,6.95,1.51,19,4,9,2,3.5,1.4,28,1,5,1,3.11,1.89,28,1,7,NA,5.39,2.04,31,1,7,1,3.06,1.36,31,1,6,1
dislocate,7.45,1.47,20,5,9,NA,4.28,1.24,25,1,5,NA,6.33,0.92,30,3,7,NA,6.12,1.11,26,3,7,NA,2.1,1.42,30,1,7,NA
dislodge,6.55,1.57,20,4,9,NA,3.96,1.07,23,1,5,NA,4.67,1.54,27,2,7,NA,5.36,1.52,25,2,7,NA,4.06,1.63,31,1,7,NA
dismantle,4.83,1.95,18,1,9,NA,3.84,0.94,25,1,5,NA,3.43,1.99,49,1,7,NA,5.37,1.56,30,1,7,NA,4.26,1.46,34,1,8,NA
dismember,7.16,1.3,19,5,9,NA,3.64,1.28,28,1,5,NA,4.79,2,24,1,7,1,5.42,1.78,31,1,7,NA,2.52,1.48,33,1,5,NA
dismiss,5.1,1.86,20,1,8,NA,2.44,1.39,25,1,5,NA,2.58,1.5,24,1,6,NA,3.88,1.99,25,1,7,NA,3.1,1.37,29,1,5,NA
dismount,4.82,1.33,17,3,7,1,4.24,0.88,25,2,5,NA,5,1.77,48,1,7,1,5.59,1.59,29,1,7,1,4.77,1.41,31,2,9,2
disobey,6.46,1.79,26,2,9,NA,3.29,1.3,24,1,5,NA,4.78,1.91,23,1,7,NA,4.92,1.57,26,2,7,NA,2.72,1.49,29,1,6,NA
disorganize,6.29,1.71,21,1,9,NA,3.66,1.23,29,1,5,NA,3.07,1.72,28,1,7,NA,5.75,1.5,32,1,7,NA,2.91,1.35,32,1,6,NA
disorient,6.81,1.6,16,4,9,NA,2.76,1.23,25,1,5,NA,3.58,1.74,24,1,7,NA,4.04,1.72,23,1,7,NA,2.96,1.23,28,1,5,NA
disown,7.16,1.5,19,4,9,NA,1.8,1.12,25,1,5,NA,2.48,1.65,23,1,6,NA,3.36,1.81,28,1,7,NA,1.78,1.19,27,1,5,NA
disparage,5.86,0.9,7,5,7,12,2.54,1.13,13,1,4,10,2.83,1.5,18,1,5,9,2.44,1.09,16,1,4,9,3.78,1.31,18,1,5,12
dispel,4.8,2.14,15,1,8,4,2.31,1.01,26,1,5,1,2.73,1.61,22,1,7,2,3.05,1.81,22,1,7,3,4.22,1.76,23,1,9,7
dispense,4,2.08,19,1,9,NA,3.27,1.4,26,1,5,2,3.07,1.77,27,1,7,1,4.65,2,26,1,7,1,4.64,1.59,28,1,8,2
disperse,4.74,1.63,19,1,8,NA,3.13,1.32,23,1,5,NA,3.37,1.82,27,1,7,NA,4.68,1.75,25,2,7,NA,4.93,0.87,30,3,7,NA
dispersed,4.6,1.54,20,1,8,NA,3.36,1.06,28,1,5,NA,2.71,1.76,24,1,6,NA,4.59,1.89,27,1,7,NA,4.85,0.95,27,3,7,NA
dispirit,4.91,1.22,11,3,7,2,1.86,1.08,22,1,5,4,2.67,1.56,21,1,5,2,2.64,1.7,25,1,7,3,3.1,1.68,20,1,5,4
displace,5.16,1.26,19,3,8,NA,2.68,1.28,28,1,5,NA,2.88,1.62,25,1,6,NA,3.43,1.92,30,1,7,1,3.48,1.12,33,1,5,NA
displayed,5.15,1.73,20,1,8,NA,3.76,1.3,25,1,5,NA,3.7,1.76,30,1,7,NA,5.08,1.67,26,2,7,NA,5.62,1.21,29,3,9,NA
displease,6.14,1.42,21,3,9,NA,2.17,1.05,24,1,4,NA,3.2,2.24,25,1,7,NA,3.92,2.12,25,1,7,NA,2.17,1.44,29,1,5,NA
dispose,5.55,1.61,20,3,9,NA,3.87,1.1,23,2,5,NA,4.15,1.9,27,1,7,NA,5.76,1.09,25,3,7,NA,3.83,1.6,30,1,7,1
disposed,4.77,1.96,13,1,8,2,2.85,1.42,20,1,5,5,3.54,2,24,1,7,2,3.71,1.86,28,1,7,3,3.28,1.44,29,1,6,3
dispossess,5.06,1.48,16,3,9,3,2.43,1.33,21,1,5,6,2.38,1.2,21,1,5,3,2.5,1.64,20,1,7,5,3.64,1.68,22,1,7,8
disprove,6.11,2.02,19,2,9,NA,2.46,1.38,24,1,5,NA,3.05,1.94,21,1,7,NA,4.03,2.23,29,1,7,NA,2.83,1.71,29,1,7,NA
disqualify,6.5,2.09,20,1,9,NA,2.83,1.34,24,1,5,NA,3.13,1.89,30,1,7,NA,4.46,1.77,26,1,7,NA,1.97,1.19,30,1,5,NA
